Time,X3,X3_norm
0.00,0.97,0.00
2.50,1.48,0.07
2.50,1.30,0.00
2.50,1.67,0.15
2.50,1.53,0.10
2.50,1.52,0.09
5.00,2.47,0.55
7.50,4.75,1.00
7.50,3.14,0.57
7.50,2.98,0.53
10.00,3.32,0.83
10.00,3.58,0.94
10.00,3.23,0.80
10.00,3.68,1.00
10.00,3.17,0.77
10.00,3.72,1.00
10.00,2.57,0.50
10.00,4.15,0.88
10.00,3.99,0.84
10.00,1.34,0.20
10.00,4.65,1.00
15.00,2.24,0.47
17.50,1.49,0.08
17.50,1.48,0.07
17.50,1.17,0.04
17.50,1.48,0.07
17.50,1.80,0.21
17.50,1.16,0.04
17.50,1.24,0.06
17.50,1.50,0.08
20.00,1.46,0.18
25.00,2.24,0.39
25.00,1.88,0.24
25.00,2.01,0.29
25.00,2.34,0.51
25.00,2.51,0.50
25.00,2.26,0.40
27.50,3.24,0.60
27.50,2.37,0.36
27.50,2.14,0.30
30.00,3.30,0.67
30.00,2.39,0.45
30.00,2.17,0.40
30.00,2.26,0.42
30.00,3.32,0.68
30.00,2.00,0.38
32.50,2.70,0.58
32.50,2.41,0.46
32.50,2.40,0.45
32.50,2.49,0.49
32.50,2.52,0.50
35.00,1.84,0.32
37.50,1.88,0.23
37.50,1.90,0.24
37.50,1.37,0.09
40.00,1.42,0.17
45.00,1.13,0.06
47.50,1.44,0.11
47.50,1.22,0.05
47.50,1.02,0.00
50.00,1.95,0.35
50.00,1.20,0.16
50.00,0.70,0.04
50.00,1.12,0.15
50.00,0.91,0.09
70.00,1.10,0.14
70.00,1.28,0.18
70.00,0.94,0.10
70.00,1.28,0.18
70.00,0.52,0.00
